additive_mass_fraction,calibrated_uncertainty,cas_number,comparison_eligible,complete_grid,expected_condition_count,experimental_winner,failure_counts,handling_approved,maximum_model_spread_delta_h_ratio,maximum_storage_bubble_pressure_ratio,maximum_viscosity_ratio_proxy,minimum_paired_delta_h_ratio,model_spread_is_uncertainty,name,pair_id,paired_condition_count,smiles
0.01,,111-46-6,True,True,6,False,{},False,0.0019118067453673948,0.9983156802492067,0.9996277816593847,0.9930648236356163,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.0293333333333,,111-46-6,True,True,6,False,{},False,0.005646979767438887,0.9951100351014633,0.9988906059001158,0.9758478869315813,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.0486666666667,,111-46-6,True,True,6,False,{},False,0.00942813732973935,0.991971945770564,0.9981293397071296,0.951088594264457,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.068,,111-46-6,True,True,6,False,{},False,0.013248619811642048,0.9889021273913786,0.9973427828070563,0.9263362002099014,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.0873333333333,,111-46-6,True,True,6,False,{},False,0.01710156099539939,0.9859011097920255,0.9965296538605442,0.9015909376043538,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.106666666667,,111-46-6,True,True,6,False,{},False,0.02145576605095345,0.9829692008988954,0.9956885835022837,0.8768530511995722,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.126,,111-46-6,True,True,6,False,{},False,0.025918815652794303,0.9801064440781301,0.9948181066516825,0.8521227964536541,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.145333333333,,111-46-6,True,True,6,False,{},False,0.030354714372645697,0.9773125683923478,0.9939166540031398,0.8274004399174627,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.164666666667,,111-46-6,True,True,6,False,{},False,0.03476277378901449,0.9745869305720796,0.9929825425924771,0.8026862597328221,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
0.184,,111-46-6,True,True,6,False,{},False,0.03914227500339451,0.9719284472826843,0.9920139653202212,0.7779805461616792,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,OCCOCCO
