additive_mass_fraction,calibrated_uncertainty,cas_number,comparison_eligible,complete_grid,expected_condition_count,experimental_winner,failure_counts,handling_approved,maximum_model_spread_delta_h_ratio,maximum_storage_bubble_pressure_ratio,maximum_viscosity_ratio_proxy,minimum_paired_delta_h_ratio,model_spread_is_uncertainty,name,pair_id,paired_condition_count,smiles
0.3,,78-84-2,False,False,6,False,"{""inlet_not_single_liquid"": 12}",False,,,,,False,isobutyraldehyde,water-AMIMRNSIRUDHCM-UHFFFAOYSA-N,0,CC(C)C=O
0.0001,,67-64-1,True,True,6,False,{},False,1.8625970776842138e-05,1.0059558369953645,0.9999656567078841,0.9999227040781342,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.000133352143216,,67-64-1,True,True,6,False,{},False,2.4836997830735008e-05,1.0079410133991407,0.9999542016924813,0.9998969246388519,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.000177827941004,,67-64-1,True,True,6,False,{},False,3.311865369792777e-05,1.0105873374604812,0.9999389255679251,0.9998625475209922,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.000316227766017,,67-64-1,True,True,6,False,{},False,5.888307195389686e-05,1.0188152202969036,0.9998913848059584,0.9997555750936916,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.00056234132519,,67-64-1,True,True,6,False,{},False,0.00010467532490521236,1.0334207410379468,0.9998068272011011,0.9995653568892096,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.001,,67-64-1,True,True,6,False,{},False,0.00018603070165890134,1.0593115726757865,0.9996564068575557,0.9992271231420868,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.00177827941004,,67-64-1,True,True,6,False,{},False,0.00033046343224607533,1.1050949917552575,0.9993887487983674,0.9986257354856407,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.00316227766017,,67-64-1,True,True,6,False,{},False,0.000586550105915018,1.185702257411269,0.9989122439417871,0.9975565730352238,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.0056234132519,,67-64-1,True,True,6,False,{},False,0.001039575226229772,1.326524177297253,0.9980631924736411,0.9956561631688594,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.01,,67-64-1,True,True,6,False,{},False,0.0018377980212087586,1.5691742827165014,0.9965479669004078,0.9922794047764126,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
0.0293333333333,,67-64-1,True,True,6,False,{},False,0.005255978211869516,2.5311560518042686,0.9897711212441314,0.9774032991485986,False,acetone,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,6,CC(C)=O
