cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
565-77-5,SZFRZEBLZFTODC-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,3,4-trimethyl-2-pentene",water-SZFRZEBLZFTODC-UHFFFAOYSA-N,False,CC(C)=C(C)C(C)C
565-78-6,QXHRQZNDMYRDPA-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,4-dimethyl-2-pentanone",water-QXHRQZNDMYRDPA-UHFFFAOYSA-N,False,CC(=O)C(C)C(C)C
56523-30-9,ADGIRGGMVLTMJM-UHFFFAOYSA-N,"[""unifac_dortmund""]","2-octene, 3,7-dimethyl-, (z)-",water-ADGIRGGMVLTMJM-UHFFFAOYSA-N,False,CC=C(C)CCCC(C)C
56539-66-3,MFKRHJVUCZRDTF-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methoxy-3-methyl-1-butanol,water-MFKRHJVUCZRDTF-UHFFFAOYSA-N,False,COC(C)(C)CCO
56544-17-3,IRDGHFDTPIJNMU-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-ethoxy-3-methyl-1-butene,water-IRDGHFDTPIJNMU-UHFFFAOYSA-N,False,C=C(OCC)C(C)C
56544-18-4,NJQBVLZZZOURKA-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-isopropoxy-3-methyl-1-butene,water-NJQBVLZZZOURKA-UHFFFAOYSA-N,False,C=C(OC(C)C)C(C)C
56582-02-6,ZJMPPRPWOHELIB-UHFFFAOYSA-N,"[""unifac_dortmund""]",ac1l3n1r,water-ZJMPPRPWOHELIB-UHFFFAOYSA-N,False,C=C1C(=C)C2C=CC1O2
5663-29-6,SMUIAOJZCSQUSN-UHFFFAOYSA-N,"[""unifac_dortmund""]","2-pentyl-1,3-dioxane",water-SMUIAOJZCSQUSN-UHFFFAOYSA-N,False,CCCCCC1OCCCO1
5664-10-8,OZHPVKGWTMAESF-UHFFFAOYSA-N,"[""unifac_dortmund""]",allylidenecyclohexane,water-OZHPVKGWTMAESF-UHFFFAOYSA-N,False,C=CC=C1CCCCC1
56640-69-8,SIIVGPQREKVCOP-ONEGZZNKSA-N,"[""unifac_dortmund""]",1-buten-1-ol,water-SIIVGPQREKVCOP-ONEGZZNKSA-N,False,CC/C=C/O
5668-93-9,HUXKTWJQSHBZIV-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-ethylbiphenyl,water-HUXKTWJQSHBZIV-UHFFFAOYSA-N,False,CCc1cccc(-c2ccccc2)c1
5669-09-0,KIELJSVPUISYCI-UHFFFAOYSA-N,"[""unifac_dortmund""]","acetaldehyde, diisobutyl acetal",water-KIELJSVPUISYCI-UHFFFAOYSA-N,False,CC(C)COC(C)OCC(C)C
56700-77-7,CLNYHERYALISIR-FNORWQNLSA-N,"[""unifac_dortmund""]","1,3-nonadiene",water-CLNYHERYALISIR-FNORWQNLSA-N,False,C=C/C=C/CCCCC
5675-25-2,HYBLFDUGSBOMPI-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,4-octadiene",water-HYBLFDUGSBOMPI-UHFFFAOYSA-N,False,C=CCC=CCCC
5676-29-9,OJHQXSRIBZMCSR-UHFFFAOYSA-N,"[""unifac_dortmund""]","styrene, .alpha.-tert-butyl-",water-OJHQXSRIBZMCSR-UHFFFAOYSA-N,False,C=C(c1ccccc1)C(C)(C)C
5676-32-4,ANGVCCXFJKHNDS-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-phenyl-1-pentene,water-ANGVCCXFJKHNDS-UHFFFAOYSA-N,False,C=C(CCC)c1ccccc1
5678-98-8,XPQJKTHTVOZXGD-UHFFFAOYSA-N,"[""unifac_dortmund""]","pentadiene, trimethyl-",water-XPQJKTHTVOZXGD-UHFFFAOYSA-N,False,CC=CC(C)=C(C)C
56798-13-1,KXZLVOUJNRRRFT-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-(2-methoxyethoxy)-3-methyl-1-butene,water-KXZLVOUJNRRRFT-UHFFFAOYSA-N,False,C=C(OCCOC)C(C)C
56798-16-4,DIZHLKGDDLADCI-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methyl-2-(2-methylpropoxy)but-1-ene,water-DIZHLKGDDLADCI-UHFFFAOYSA-N,False,C=C(OCC(C)C)C(C)C
56798-18-6,GCRGZVPKBFFPEY-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-(3-pentoxy)-3-methyl-1-butene,water-GCRGZVPKBFFPEY-UHFFFAOYSA-N,False,C=C(OC(CC)CC)C(C)C
56816-01-4,OMSUIQOIVADKIM-YFKPBYRVSA-N,"[""unifac_dortmund""]",56816-01-4,water-OMSUIQOIVADKIM-YFKPBYRVSA-N,False,CCOC(=O)C[C@H](C)O
5683-44-3,RBQLGIKHSXQZTB-UHFFFAOYSA-N,"[""unifac_dortmund""]","3-methyl-2,4-pentanediol",water-RBQLGIKHSXQZTB-UHFFFAOYSA-N,False,CC(O)C(C)C(C)O
56836-93-2,VSIXJPFQJMODCS-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methyl-4-phenylbutan-2-ol,water-VSIXJPFQJMODCS-UHFFFAOYSA-N,False,CC(O)C(C)Cc1ccccc1
5685-46-1,PGPFRBIKUWKSTJ-UHFFFAOYSA-N,"[""unifac_dortmund""]",bicyclopropyl,water-PGPFRBIKUWKSTJ-UHFFFAOYSA-N,False,C1CC1C1CC1
5685-47-2,LLVRMRMMZQPDAK-UHFFFAOYSA-N,"[""unifac_dortmund""]","methane, dicyclopropyl-",water-LLVRMRMMZQPDAK-UHFFFAOYSA-N,False,C1CC1CC1CC1
56881-90-4,FWIBCWKHNZBDLS-GSVOUGTGSA-N,"[""unifac_dortmund""]",(r)-3-hydroxydihydrofuran-2(3h)-one,water-FWIBCWKHNZBDLS-GSVOUGTGSA-N,False,O=C1OCC[C@H]1O
56898-37-4,WYNTWOMMHWJBMR-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyl 2-methylnonanoate,water-WYNTWOMMHWJBMR-UHFFFAOYSA-N,False,CCCCCCCC(C)C(=O)OC
56922-72-6,NMUKAHSPJUKENF-UHFFFAOYSA-N,"[""unifac_dortmund""]",pentyl 3-methylbut-2-enoate,water-NMUKAHSPJUKENF-UHFFFAOYSA-N,False,CCCCCOC(=O)C=C(C)C
56922-73-7,DBGLRAHCYJTYEH-UHFFFAOYSA-N,"[""unifac_dortmund""]",isoamyl senecioate,water-DBGLRAHCYJTYEH-UHFFFAOYSA-N,False,CC(C)=CC(=O)OCCC(C)C
56922-74-8,WDXAMNXWZLXISB-UHFFFAOYSA-N,"[""unifac_dortmund""]",56922-74-8,water-WDXAMNXWZLXISB-UHFFFAOYSA-N,False,CCCC=CCOC(=O)CCCC
56961-73-0,WYWVAOQKWGNZHN-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-phenylethyl isovalerate,water-WYWVAOQKWGNZHN-UHFFFAOYSA-N,False,CC(C)CC(=O)OC(C)c1ccccc1
5698-29-3,ZYDGQQTXLBNSGJ-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-oxonanone,water-ZYDGQQTXLBNSGJ-UHFFFAOYSA-N,False,O=C1CCCCCCCO1
56991-23-2,WZHRMNRJRZTTCG-UHFFFAOYSA-N,"[""unifac_dortmund""]",decen-3-yl acetate,water-WZHRMNRJRZTTCG-UHFFFAOYSA-N,False,C=CC(CCCCCCC)OC(C)=O
57-55-6,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,2-propanediol",water-DNIAPMSPPWPWGF-UHFFFAOYSA-N,False,CC(O)CO
57-57-8,VEZXCJBBBCKRPI-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-oxetanone,water-VEZXCJBBBCKRPI-UHFFFAOYSA-N,False,O=C1CCO1
57018-52-7,GQCZPFJGIXHZMB-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-tert-butoxy-2-propanol,water-GQCZPFJGIXHZMB-UHFFFAOYSA-N,False,CC(O)COC(C)(C)C
5702-49-8,JUTVXESYHPHLKJ-UHFFFAOYSA-N,"[""unifac_dortmund""]","2-propan-2-yl-1,3-dioxane",water-JUTVXESYHPHLKJ-UHFFFAOYSA-N,False,CC(C)C1OCCCO1
57021-67-7,BEQOBRGLAAGQDU-UHFFFAOYSA-N,"[""unifac_dortmund""]","3-methoxy-2,2-dimethylpropan-1-ol",water-BEQOBRGLAAGQDU-UHFFFAOYSA-N,False,COCC(C)(C)CO
5703-26-4,NRIVMXXOUOBRAG-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-methoxyphenylacetaldehyde,water-NRIVMXXOUOBRAG-UHFFFAOYSA-N,False,COc1ccc(CC=O)cc1
57074-37-0,VUNFOJWKJSYIDH-UHFFFAOYSA-N,"[""unifac_dortmund""]","4-decen-1-ol, (4z)-",water-VUNFOJWKJSYIDH-UHFFFAOYSA-N,False,CCCCCC=CCCCO
57094-35-6,PLMBSQKUMOJZNE-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,1-dimethoxy-3-methylbutane",water-PLMBSQKUMOJZNE-UHFFFAOYSA-N,False,COC(CC(C)C)OC
571-58-4,APQSQLNWAIULLK-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,4-dimethylnaphthalene",water-APQSQLNWAIULLK-UHFFFAOYSA-N,False,Cc1ccc(C)c2ccccc12
5715-23-1,ZBAXJUPCYVIBSP-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,4-dimethylcyclohexanol",water-ZBAXJUPCYVIBSP-UHFFFAOYSA-N,False,CC1CCC(O)CC1C
57233-31-5,KNACVESXMPHLNM-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,2,4-trimethyl-4-heptanol",water-KNACVESXMPHLNM-UHFFFAOYSA-N,False,CCCC(C)(O)CC(C)(C)C
57282-45-8,TXTBETUBCFNUNQ-UHFFFAOYSA-N,"[""unifac_dortmund""]","2-(2,6-dimethylhepta-1,5-dienyl)-4-methyl-1,3-dioxane",water-TXTBETUBCFNUNQ-UHFFFAOYSA-N,False,CC(C)=CCCC(C)=CC1OCCC(C)O1
5729-47-5,GBLMMVFQENXAFZ-UHFFFAOYSA-N,"[""unifac_dortmund""]",ctk1h1777,water-GBLMMVFQENXAFZ-UHFFFAOYSA-N,False,CC(=O)C=CC=O
573-98-8,QNLZIZAQLLYXTC-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,2-dimethylnaphthalene",water-QNLZIZAQLLYXTC-UHFFFAOYSA-N,False,Cc1ccc2ccccc2c1C
