cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
2799-44-2,LCGAWMBXFZIHQA-UHFFFAOYSA-N,"[""unifac_dortmund""]","cyclopropane,tris(1-methylethylidene)-",water-LCGAWMBXFZIHQA-UHFFFAOYSA-N,False,CC(C)=C1C(=C(C)C)C1=C(C)C
27993-42-6,IJTQSJQDJKSMPC-UHFFFAOYSA-N,"[""unifac_dortmund""]","2-pentanone, 3-methyl-1-phenyl-",water-IJTQSJQDJKSMPC-UHFFFAOYSA-N,False,CCC(C)C(=O)Cc1ccccc1
2801-84-5,OJAFXEXESSNPMH-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,4-dimethyldecane",water-OJAFXEXESSNPMH-UHFFFAOYSA-N,False,CCCCCCC(C)CC(C)C
2801-86-7,ADQGKNVLGXQIRL-UHFFFAOYSA-N,"[""unifac_dortmund""]","tetradecane, 7,8-dimethyl",water-ADQGKNVLGXQIRL-UHFFFAOYSA-N,False,CCCCCCC(C)C(C)CCCCCC
2801-87-8,ODDVOCXSLXTIIU-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-methylpentadecane,water-ODDVOCXSLXTIIU-UHFFFAOYSA-N,False,CCCCCCCCCCCC(C)CCC
28056-54-4,PJXIBUIXCXSNCM-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,2,4-trimethylcyclopentanone",water-PJXIBUIXCXSNCM-UHFFFAOYSA-N,False,CC1CC(=O)C(C)(C)C1
2806-84-0,OXGJKCALURPRCN-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methoxypropanal,water-OXGJKCALURPRCN-UHFFFAOYSA-N,False,COCCC=O
28069-72-9,AMXYRHBJZOVHOL-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,6-nonadien-1-ol",water-AMXYRHBJZOVHOL-UHFFFAOYSA-N,False,CCC=CCCC=CCO
28069-74-1,PAEBAEDUARAOSG-UHFFFAOYSA-N,"[""unifac_dortmund""]","3-hexene, 1-(1-ethoxyethoxy)-",water-PAEBAEDUARAOSG-UHFFFAOYSA-N,False,CCC=CCCOC(C)OCC
2807-30-9,YEYKMVJDLWJFOA-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-propoxyethanol,water-YEYKMVJDLWJFOA-UHFFFAOYSA-N,False,CCCOCCO
28079-04-1,SUCYDSJQVVGOIW-WAYWQWQTSA-N,"[""unifac_dortmund""]",denacyl,water-SUCYDSJQVVGOIW-WAYWQWQTSA-N,False,CCC/C=C\CCCCCCCOC(C)=O
2808-38-0,OPOFYMSEXICFOW-UHFFFAOYSA-N,"[""unifac_dortmund""]",di-cyclohexadiene,water-OPOFYMSEXICFOW-UHFFFAOYSA-N,False,C1=CC2C3C=CC(CC3)C2CC1
2808-71-1,BAGSBIKCNLYDJO-UHFFFAOYSA-N,"[""unifac_dortmund""]","cyclohexene, 3-ethyl-",water-BAGSBIKCNLYDJO-UHFFFAOYSA-N,False,CCC1C=CCCC1
2808-75-5,QJXCDRBHYIAFTH-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-methyl-2-methylenecyclohexane,water-QJXCDRBHYIAFTH-UHFFFAOYSA-N,False,C=C1CCCCC1C
2808-76-6,XTCMQAVNRXZBRH-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,3-dimethyl cyclohexene",water-XTCMQAVNRXZBRH-UHFFFAOYSA-N,False,CC1=CC(C)CCC1
2808-80-2,DRTOPLRMDZJIGV-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-methyl-4-methylenecyclohexane,water-DRTOPLRMDZJIGV-UHFFFAOYSA-N,False,C=C1CCC(C)CC1
28080-86-6,IQUZXHOQPNGXTM-UHFFFAOYSA-N,"[""unifac_dortmund""]","(2,2-dimethylbutyl)benzene",water-IQUZXHOQPNGXTM-UHFFFAOYSA-N,False,CCC(C)(C)Cc1ccccc1
2809-64-5,YXOVIGZJPGLNGM-UHFFFAOYSA-N,"[""unifac_dortmund""]",5-methyltetralin,water-YXOVIGZJPGLNGM-UHFFFAOYSA-N,False,Cc1cccc2c1CCCC2
281-05-0,DDXPJVFYAZDUKM-UHFFFAOYSA-N,"[""unifac_dortmund""]",9-oxabicyclo[3.3.1]nonane,water-DDXPJVFYAZDUKM-UHFFFAOYSA-N,False,C1CC2CCCC(C1)O2
281-84-5,PLUCKDQGTJDOCM-UHFFFAOYSA-N,"[""unifac_dortmund""]","tricyclo[6.2.1.13,6]dodecane",water-PLUCKDQGTJDOCM-UHFFFAOYSA-N,False,C1CC2CC1CC1CCC(C1)C2
28102-61-6,KNDPTAUZTFETIV-UHFFFAOYSA-N,"[""unifac_dortmund""]","syn-tricyclo[3.2.0.0(2,4)]heptane",water-KNDPTAUZTFETIV-UHFFFAOYSA-N,False,C1CC2C1C1CC21
