cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
2220-40-8,UJVGEBBKXJLFPB-UHFFFAOYSA-N,"[""unifac_dortmund""]",bicyclo[2.2.2]octenone,water-UJVGEBBKXJLFPB-UHFFFAOYSA-N,False,O=C1CC2C=CC1CC2
2223-54-3,IDFBAZYYEXBGJO-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,3,6,6-tetramethylcyclohexa-1,4-diene",water-IDFBAZYYEXBGJO-UHFFFAOYSA-N,False,CC1(C)C=CC(C)(C)C=C1
22253-11-8,PZZIWXQGJNDBRF-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-phenylindan,water-PZZIWXQGJNDBRF-UHFFFAOYSA-N,False,c1ccc(C2Cc3ccccc3C2)cc1
2228-98-0,PJTMQLHFQYFBBB-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-(tert-butyl)cyclohex-1-ene,water-PJTMQLHFQYFBBB-UHFFFAOYSA-N,False,CC(C)(C)C1CC=CCC1
22286-82-4,BOIWYTYYWPXGAT-UHFFFAOYSA-N,"[""unifac_dortmund""]",ethyl atropate,water-BOIWYTYYWPXGAT-UHFFFAOYSA-N,False,C=C(C(=O)OCC)c1ccccc1
22287-02-1,YITHWSJQOVKDGI-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-methyl-5-nonanone,water-YITHWSJQOVKDGI-UHFFFAOYSA-N,False,CCCCC(=O)CCC(C)C
22289-05-0,FFPAMXZGKPTNDP-UHFFFAOYSA-N,"[""unifac_dortmund""]","3-methylene-2,6-heptanedione",water-FFPAMXZGKPTNDP-UHFFFAOYSA-N,False,C=C(CCC(C)=O)C(C)=O
2230-70-8,JEANOXXXGPLTOI-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,4,4-trimethylcyclohexanone",water-JEANOXXXGPLTOI-UHFFFAOYSA-N,False,CC1CC(C)(C)CCC1=O
22306-28-1,OUKHTAOLUYDJTA-UHFFFAOYSA-N,"[""unifac_dortmund""]","pentadecane, 8-methyl",water-OUKHTAOLUYDJTA-UHFFFAOYSA-N,False,CCCCCCCC(C)CCCCCCC
22319-24-0,FKMGZMDLSNOJPQ-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-methyl-2-hepten-4-one,water-FKMGZMDLSNOJPQ-UHFFFAOYSA-N,False,CCCC(=O)C=C(C)C
