cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
19841-72-6,AZIWNYAWODSERA-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,2-dimethyl-3-octanol",water-AZIWNYAWODSERA-UHFFFAOYSA-N,False,CCCCCC(O)C(C)(C)C
19841-74-8,PUQJLFYISQDJKP-UHFFFAOYSA-N,"[""unifac_dortmund""]","1-ethyl-1,4-cyclohexadiene",water-PUQJLFYISQDJKP-UHFFFAOYSA-N,False,CCC1=CCC=CC1
1985-57-5,PIUUDKDOAUICQP-UHFFFAOYSA-N,"[""unifac_dortmund""]","(1,1-dimethylbutyl)benzene",water-PIUUDKDOAUICQP-UHFFFAOYSA-N,False,CCCC(C)(C)c1ccccc1
1985-96-2,GTACQJHQXAMGPH-UHFFFAOYSA-N,"[""unifac_dortmund""]",ctk0e0575,water-GTACQJHQXAMGPH-UHFFFAOYSA-N,False,CC(C)(Cc1ccccc1)c1ccccc1
1985-97-3,HZZKTLLPQSFICU-UHFFFAOYSA-N,"[""unifac_dortmund""]",(3-methylpentan-3-yl)benzene,water-HZZKTLLPQSFICU-UHFFFAOYSA-N,False,CCC(C)(CC)c1ccccc1
19902-08-0,WTARULDDTDQWMU-RKDXNWHRSA-N,"[""unifac_dortmund""]",(+)-beta-pinene,water-WTARULDDTDQWMU-RKDXNWHRSA-N,False,C=C1CC[C@@H]2C[C@H]1C2(C)C
19910-30-6,HLKQGJVFPKYPQN-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,3,3-trimethylbutanoic acid methyl ester",water-HLKQGJVFPKYPQN-UHFFFAOYSA-N,False,COC(=O)C(C)C(C)(C)C
19918-17-3,QYZLNRIZJWZODV-UHFFFAOYSA-N,"[""unifac_dortmund""]","2(3h)-furanone,5-(1,1-dimethylethyl)-",water-QYZLNRIZJWZODV-UHFFFAOYSA-N,False,CC(C)(C)C1=CCC(=O)O1
19945-61-0,LUKZREJJLWEWQM-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,3,7-nonatriene, 4,8-dimethyl-",water-LUKZREJJLWEWQM-UHFFFAOYSA-N,False,C=CC=C(C)CCC=C(C)C
19947-22-9,HAGOWDKLLDRZAS-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-phenyl-1-pentene,water-HAGOWDKLLDRZAS-UHFFFAOYSA-N,False,C=CC(CC)c1ccccc1
20019-64-1,YNKQMZRTPPVLLL-UHFFFAOYSA-N,"[""unifac_dortmund""]","2(5h)-furanone, 5,5-dimethyl-",water-YNKQMZRTPPVLLL-UHFFFAOYSA-N,False,CC1(C)C=CC(=O)O1
20024-90-2,ADQDTIAWIXUACV-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-ethyl-4-propylbenzene,water-ADQDTIAWIXUACV-UHFFFAOYSA-N,False,CCCc1ccc(CC)cc1
20024-91-3,QCYGXOCMWHSXSU-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-ethyl-3-propylbenzene,water-QCYGXOCMWHSXSU-UHFFFAOYSA-N,False,CCCc1cccc(CC)c1
2004-67-3,KPHPTSMXBAVNPX-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-methyl-4-penten-2-ol,water-KPHPTSMXBAVNPX-UHFFFAOYSA-N,False,C=C(C)CC(C)O
2004-70-8,PMJHHCWVYXUKFD-SNAWJCMRSA-N,"[""unifac_dortmund""]","trans-1,3-Pentadiene",water-PMJHHCWVYXUKFD-SNAWJCMRSA-N,False,C=C/C=C/C
20053-88-7,ZJIQIJIQBTVTDY-VOTSOKGWSA-N,"[""unifac_dortmund""]",hotrienol,water-ZJIQIJIQBTVTDY-VOTSOKGWSA-N,False,C=CC(C)(O)C/C=C/C(=C)C
20053-89-8,RNUMLXRVXVCOAQ-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,2-dimethyl-1-cycloheptene",water-RNUMLXRVXVCOAQ-UHFFFAOYSA-N,False,CC1=C(C)CCCCC1
20054-25-5,CTURECVBUDVEDW-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,8-dimethyl-1,8-nonadiene",water-CTURECVBUDVEDW-UHFFFAOYSA-N,False,C=C(C)CCCCCC(=C)C
20056-22-8,FJHNHGPWIXCZGA-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,9-undecadien-2-one, 3,6,10-trimethyl-",water-FJHNHGPWIXCZGA-UHFFFAOYSA-N,False,CC(=O)C(C)=CCC(C)CCC=C(C)C
20056-92-2,WWDOVTHLTQFGOZ-WAYWQWQTSA-N,"[""unifac_dortmund""]","7-dodecen-1-ol, (z)-",water-WWDOVTHLTQFGOZ-WAYWQWQTSA-N,False,CCCC/C=C\CCCCCCO
20063-92-7,YCBSHDKATAPNIA-FNORWQNLSA-N,"[""unifac_dortmund""]",(e)-non-3-ene,water-YCBSHDKATAPNIA-FNORWQNLSA-N,False,CC/C=C/CCCCC
20063-97-2,YKNMBTZOEVIJCM-HWKANZROSA-N,"[""unifac_dortmund""]",(2E)-2-Decene,water-YKNMBTZOEVIJCM-HWKANZROSA-N,False,C/C=C/CCCCCCC
2009-74-7,RSNMTAYSENLHOW-UHFFFAOYSA-N,"[""unifac_dortmund""]",trans-6-methyl-3-hepten-2-one,water-RSNMTAYSENLHOW-UHFFFAOYSA-N,False,CC(=O)C=CCC(C)C
20115-23-5,MVIMPQVBUPCHEV-UHFFFAOYSA-N,"[""unifac_dortmund""]",phenyl valerate,water-MVIMPQVBUPCHEV-UHFFFAOYSA-N,False,CCCCC(=O)Oc1ccccc1
20117-47-9,DQWVUKFABWSFJD-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-methylcyclobutanol,water-DQWVUKFABWSFJD-UHFFFAOYSA-N,False,CC1(O)CCC1
20125-84-2,YDXQPTHHAPCTPP-UHFFFAOYSA-N,"[""unifac_dortmund""]",cis-3-octen-1-ol,water-YDXQPTHHAPCTPP-UHFFFAOYSA-N,False,CCCCC=CCCO
20185-55-1,IPIVTJSCIHXKOE-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyl cumate,water-IPIVTJSCIHXKOE-UHFFFAOYSA-N,False,COC(=O)c1ccc(C(C)C)cc1
20211-64-7,PTVHQPMLCSSVQD-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-phenylcyclobutene,water-PTVHQPMLCSSVQD-UHFFFAOYSA-N,False,C1=CC(c2ccccc2)C1
20216-88-0,ZUKGIZDDXAWABM-UHFFFAOYSA-N,"[""unifac_dortmund""]","nonane, 5-phenyl-",water-ZUKGIZDDXAWABM-UHFFFAOYSA-N,False,CCCCC(CCCC)c1ccccc1
20232-11-5,RIGBUHPGSPCSLT-UHFFFAOYSA-N,"[""unifac_dortmund""]",6-methyl-1h-indene,water-RIGBUHPGSPCSLT-UHFFFAOYSA-N,False,Cc1ccc2c(c1)CC=C2
20237-34-7,AHAREKHAZNPPMI-AATRIKPKSA-N,"[""unifac_dortmund""]","1,3-Hexadiene, (3E)-",water-AHAREKHAZNPPMI-AATRIKPKSA-N,False,C=C/C=C/CC
20267-19-0,YMLMPWTWWZJGAZ-UHFFFAOYSA-N,"[""unifac_dortmund""]","2-hydroxyethyl-2',2'-dimethylpropionate",water-YMLMPWTWWZJGAZ-UHFFFAOYSA-N,False,CC(C)(C)C(=O)OCCO
2027-17-0,TVYVQNHYIHAJTD-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-isopropylnaphthalene,water-TVYVQNHYIHAJTD-UHFFFAOYSA-N,False,CC(C)c1ccc2ccccc2c1
2027-19-2,LQBNOHAXLHRIQW-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-propylnaphthalene,water-LQBNOHAXLHRIQW-UHFFFAOYSA-N,False,CCCc1ccc2ccccc2c1
20278-84-6,YMBNRMDSLJNNPF-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,4,5-trimethylheptane",water-YMBNRMDSLJNNPF-UHFFFAOYSA-N,False,CCC(C)C(C)CC(C)C
20278-85-7,YKPNYFKOKKKGNM-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,3,5-trimethylheptane",water-YKPNYFKOKKKGNM-UHFFFAOYSA-N,False,CCC(C)CC(C)C(C)C
20278-87-9,WRBHKVWLEIYLDZ-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,3,4-trimethylheptane",water-WRBHKVWLEIYLDZ-UHFFFAOYSA-N,False,CCCC(C)C(C)(C)CC
20278-88-0,BLNBSBLKPFFJKQ-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,4,4-trimethylheptane",water-BLNBSBLKPFFJKQ-UHFFFAOYSA-N,False,CCCC(C)(C)C(C)CC
20278-89-1,LJIIBBYARMPSMT-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,4,5-trimethylheptane",water-LJIIBBYARMPSMT-UHFFFAOYSA-N,False,CCC(C)C(C)C(C)CC
20279-29-2,PIZOACXKIKXRDJ-UHFFFAOYSA-N,"[""unifac_dortmund""]",phenyl isobutyrate,water-PIZOACXKIKXRDJ-UHFFFAOYSA-N,False,CC(C)C(=O)Oc1ccccc1
20279-44-1,ZAZUOXBHFXAWMD-UHFFFAOYSA-N,"[""unifac_dortmund""]",butyl pyruvate,water-ZAZUOXBHFXAWMD-UHFFFAOYSA-N,False,CCCCOC(=O)C(C)=O
20279-51-0,KDPXOGYCOOUWOS-UHFFFAOYSA-N,"[""unifac_dortmund""]",hexyl 2-hydroxypropanoate,water-KDPXOGYCOOUWOS-UHFFFAOYSA-N,False,CCCCCCOC(=O)C(C)O
20282-28-4,ZZRGDSMZKOGYPC-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,1'-biphenyl, 2-propyl-",water-ZZRGDSMZKOGYPC-UHFFFAOYSA-N,False,CCCc1ccccc1-c1ccccc1
20291-91-2,XYDYODCWVCBIOQ-UHFFFAOYSA-N,"[""unifac_dortmund""]","3-ethyl-2,2-dimethylhexane",water-XYDYODCWVCBIOQ-UHFFFAOYSA-N,False,CCCC(CC)C(C)(C)C
20291-95-6,GZJFAWOTMWATOS-UHFFFAOYSA-N,"[""unifac_dortmund""]","heptane, 2,2,5-trimethyl-",water-GZJFAWOTMWATOS-UHFFFAOYSA-N,False,CCC(C)CCC(C)(C)C
20298-72-0,NHUNEDUXIBOQML-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-tert-butylcyclohexyl acetate,water-NHUNEDUXIBOQML-UHFFFAOYSA-N,False,CC(=O)OC1CCCC(C(C)(C)C)C1
2030-83-3,WLTSXAIICPDFKI-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-dodecene,water-WLTSXAIICPDFKI-UHFFFAOYSA-N,False,CCC=CCCCCCCCC
2030-84-4,PHCKFVVLVZFFLU-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-dodecene,water-PHCKFVVLVZFFLU-UHFFFAOYSA-N,False,CCCC=CCCCCCCC
20307-83-9,PHWISBHSBNDZDX-UHFFFAOYSA-N,"[""unifac_dortmund""]",sesquiphellandrene,water-PHWISBHSBNDZDX-UHFFFAOYSA-N,False,C=C1C=CC(C(C)CCC=C(C)C)CC1
