cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
35926-06-8,SIOVHXRHPCJGFJ-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-vinylpentyl acetate,water-SIOVHXRHPCJGFJ-UHFFFAOYSA-N,False,C=CC(CCCC)OC(C)=O
35983-73-4,PZEMSEDKGGNKKM-UHFFFAOYSA-N,"[""unifac_dortmund""]",35983-73-4,water-PZEMSEDKGGNKKM-UHFFFAOYSA-N,False,CC1=CC(C)(C)C(=O)O1
3604-36-2,ABYXLSPPPNXLTQ-UHFFFAOYSA-N,"[""unifac_dortmund""]",3604-36-2,water-ABYXLSPPPNXLTQ-UHFFFAOYSA-N,False,COC(=O)C1=CC2C=CC1C2
36045-56-4,UJMJKQQDZAISMS-UHFFFAOYSA-N,"[""unifac_dortmund""]","hexanoic acid, 4-methyl-5-oxo-, methyl ester",water-UJMJKQQDZAISMS-UHFFFAOYSA-N,False,COC(=O)CCC(C)C(C)=O
3613-30-7,IDWULKZGRNHZNR-UHFFFAOYSA-N,"[""unifac_dortmund""]","7-methoxy-3,7-dimethyloctanal",water-IDWULKZGRNHZNR-UHFFFAOYSA-N,False,COC(C)(C)CCCC(C)CC=O
36159-49-6,LVDALGYBEFALAP-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-butylcyclohexanol,water-LVDALGYBEFALAP-UHFFFAOYSA-N,False,CCCCC1CCCCC1O
3618-11-9,BESIOWGPXPAVOS-UHFFFAOYSA-N,"[""unifac_dortmund""]",cyclononene,water-BESIOWGPXPAVOS-UHFFFAOYSA-N,False,C1=CCCCCCCC1
3618-18-6,GQRWNDZUODCEAJ-UHFFFAOYSA-N,"[""unifac_dortmund""]",methylenecyclooctane,water-GQRWNDZUODCEAJ-UHFFFAOYSA-N,False,C=C1CCCCCCC1
36197-12-3,CVZLJKNMBQUJSK-UHFFFAOYSA-N,"[""unifac_dortmund""]",7-methoxybicyclo[2.2.1]heptane,water-CVZLJKNMBQUJSK-UHFFFAOYSA-N,False,COC1C2CCC1CC2
36231-13-7,CCLPTDRLVDMCRP-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,2,3,4,5,8-hexahydronaphthalene",water-CCLPTDRLVDMCRP-UHFFFAOYSA-N,False,C1=CCC2=C(C1)CCCC2
36320-14-6,YKCQGTKPNABNLF-VOTSOKGWSA-N,"[""unifac_dortmund""]","(z)-5,5-dimethyl-1,3-hexadiene",water-YKCQGTKPNABNLF-VOTSOKGWSA-N,False,C=C/C=C/C(C)(C)C
36328-29-7,MNAZMNQDNRWXGD-UHFFFAOYSA-N,"[""unifac_dortmund""]","tricyclo(4.1.1.07,8)octane",water-MNAZMNQDNRWXGD-UHFFFAOYSA-N,False,C1CCC2C3C(C1)C23
3635-94-7,ZYVIMZRTFMWLDQ-UHFFFAOYSA-N,"[""unifac_dortmund""]","tricyclo[3.2.1.02,4]oct-6-ene",water-ZYVIMZRTFMWLDQ-UHFFFAOYSA-N,False,C1=CC2CC1C1CC21
3637-01-2,WPRAXAOJIODQJR-UHFFFAOYSA-N,"[""unifac_dortmund""]","3',4'-dimethylacetophenone",water-WPRAXAOJIODQJR-UHFFFAOYSA-N,False,CC(=O)c1ccc(C)c(C)c1
