cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
1121-35-3,DYSWOOYHJQAZIT-UHFFFAOYSA-N,"[""unifac_dortmund""]","cyclopropane, 1,1-dimethyl-2-(1-methylethenyl)-",water-DYSWOOYHJQAZIT-UHFFFAOYSA-N,False,CC(C)=C1CC1(C)C
1121-64-8,PKTLJWUNHIKVME-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-cycloheptenone,water-PKTLJWUNHIKVME-UHFFFAOYSA-N,False,O=C1CC=CCCC1
1121-65-9,UNELZWLTCBQRGC-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,5-cycloheptadien-1-one",water-UNELZWLTCBQRGC-UHFFFAOYSA-N,False,O=C1CC=CC=CC1
1121-66-0,WZCRDVTWUYLPTR-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-cyclohepten-1-one,water-WZCRDVTWUYLPTR-UHFFFAOYSA-N,False,O=C1C=CCCCC1
1121-84-2,YHTLGFCVBKENTE-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-methyltetrahydro-2h-pyran-2-one,water-YHTLGFCVBKENTE-UHFFFAOYSA-N,False,CC1CCOC(=O)C1
1121-87-5,OCBJIXQOIASAQK-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,3-dioxane, 4,6-dimethyl-",water-OCBJIXQOIASAQK-UHFFFAOYSA-N,False,CC1CC(C)OCO1
112182-00-0,SFUYOPHWNDIHFL-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,4-heptadienoic acid, 6-methyl-, ethyl ester, (2e,4e)-",water-SFUYOPHWNDIHFL-UHFFFAOYSA-N,False,CCOC(=O)C=CC=CC(C)C
1122-24-3,YPRIHWWNQRSAQL-UHFFFAOYSA-N,"[""unifac_dortmund""]",1122-24-3,water-YPRIHWWNQRSAQL-UHFFFAOYSA-N,False,CC=C1CCCCC1=O
1122-84-5,ILZVJFHNPUWKQQ-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-ethoxycyclohexene,water-ILZVJFHNPUWKQQ-UHFFFAOYSA-N,False,CCOC1=CCCCC1
1122-98-1,YYJCNNFQNIAISZ-UHFFFAOYSA-N,"[""unifac_dortmund""]",cyclopentylacetone,water-YYJCNNFQNIAISZ-UHFFFAOYSA-N,False,CC(=O)CC1CCCC1
1123-07-5,NFRFQWLJPHVZRK-UHFFFAOYSA-N,"[""unifac_dortmund""]","4,4,6-trimethyl-1,3-dioxane",water-NFRFQWLJPHVZRK-UHFFFAOYSA-N,False,CC1CC(C)(C)OCO1
1123-34-8,ZSLKGUQYEQVKQE-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-allylcyclohexanol,water-ZSLKGUQYEQVKQE-UHFFFAOYSA-N,False,C=CCC1(O)CCCCC1
1123-85-9,RNDNSYIPLPAXAZ-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-phenyl-1-propanol,water-RNDNSYIPLPAXAZ-UHFFFAOYSA-N,False,CC(CO)c1ccccc1
1123-86-0,AMHOPTNGSNYSBL-UHFFFAOYSA-N,"[""unifac_dortmund""]",ethyl cyclohexyl ketone,water-AMHOPTNGSNYSBL-UHFFFAOYSA-N,False,CCC(=O)C1CCCCC1
1124-20-5,XXTQHVKTTBLFRI-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-methyl-3.alpha.-methylstyrene,water-XXTQHVKTTBLFRI-UHFFFAOYSA-N,False,C=C(C)c1cccc(C)c1
1124-27-2,WPMKLOWQWIDOJN-UHFFFAOYSA-N,"[""unifac_dortmund""]","p-menth-8-ene, cis-",water-WPMKLOWQWIDOJN-UHFFFAOYSA-N,False,C=C(C)C1CCC(C)CC1
1124-63-6,CLYAQFSQLQTVNO-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-cyclohexyl-1-propanol,water-CLYAQFSQLQTVNO-UHFFFAOYSA-N,False,OCCCC1CCCCC1
1124-78-3,RDAFFINKUCJOJK-UHFFFAOYSA-N,"[""unifac_dortmund""]","cyclodeca-1,5-diene",water-RDAFFINKUCJOJK-UHFFFAOYSA-N,False,C1=CCCCCC=CCC1
1124-79-4,GWCMUONZBWHLRN-REXUQAFDSA-N,"[""unifac_dortmund""]","cis,cis-1,6-cyclodecadiene",water-GWCMUONZBWHLRN-REXUQAFDSA-N,False,C1=C\CCC/C=C\CCC/1
1125-88-8,HEVMDQBCAHEHDY-UHFFFAOYSA-N,"[""unifac_dortmund""]",benzaldehyde dimethyl acetal,water-HEVMDQBCAHEHDY-UHFFFAOYSA-N,False,COC(OC)c1ccccc1
