available_model_count,candidate_id,cas_number,evidence_tier,experimental_winner,full_profile_evaluated,heat_coverage_min,mass_fraction,mass_ratio_vs_heos_water,model_relative_spread,name,pair_id,profile_hash,quadrature_node_count,qualification,rankable,relative_change_refined_to_exact,stage,status,successful_model_count,within_quadrature_tolerance,worst_model_mass_kg
1,5437cca084cac1dc16781328,68345-17-5,single_model_exploratory,False,False,0.0,0.501666666667,,,dihydrolinalyl acetate,water-DMSMQGBPJBKXNU-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,daa0141af884a15760265d1f,68345-17-5,single_model_exploratory,False,False,0.0,0.521333333333,,,dihydrolinalyl acetate,water-DMSMQGBPJBKXNU-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,86a8a63a48fc4d173351506a,68345-17-5,single_model_exploratory,False,False,0.0,0.541,,,dihydrolinalyl acetate,water-DMSMQGBPJBKXNU-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,439e6e1221ca4d73481a1ff8,68345-17-5,single_model_exploratory,False,False,0.0,0.560666666667,,,dihydrolinalyl acetate,water-DMSMQGBPJBKXNU-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,fda75a6294603cea7ba7c78b,68345-17-5,single_model_exploratory,False,False,0.0,0.580333333333,,,dihydrolinalyl acetate,water-DMSMQGBPJBKXNU-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,461da96a0ca78732a49830af,68345-17-5,single_model_exploratory,False,False,0.0,0.6,,,dihydrolinalyl acetate,water-DMSMQGBPJBKXNU-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,24cce8f340bebd8145021ef0,947-05-7,single_model_exploratory,False,False,1.0,0.0001,0.9990722171149953,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,complete_model_estimate,1,,2687.7183201447615
1,4dd5ba70a7a6adf1b0818042,947-05-7,single_model_exploratory,False,False,1.0,0.000166810054,0.9991085169415492,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,complete_model_estimate,1,,2687.815974455607
1,ba1a11dd5c4211b19d051463,947-05-7,single_model_exploratory,False,False,0.0,0.00027825594,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,4793a357a43d1eddbb5d5728,947-05-7,single_model_exploratory,False,False,0.0,0.000464158883,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,9f63c114922c64ab4f062533,947-05-7,single_model_exploratory,False,False,0.0,0.000774263683,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,9f2149f30f4439aca513b771,947-05-7,single_model_exploratory,False,False,0.0,0.001291549665,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,0ebaefbae0a97dcbe1cabaa2,947-05-7,single_model_exploratory,False,False,0.0,0.00215443469,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,23c284b4374df443a4346168,947-05-7,single_model_exploratory,False,False,0.0,0.003593813664,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,fe3ce76b2f0b9e7b1a8a71ed,947-05-7,single_model_exploratory,False,False,0.0,0.005994842503,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,ab0de32e03c3eaeed4573619,947-05-7,single_model_exploratory,False,False,0.0,0.01,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,a3254d695d33493415ced55e,947-05-7,single_model_exploratory,False,False,0.0,0.029666666667,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,d2bc888f70549cf9c1c0884e,947-05-7,single_model_exploratory,False,False,0.0,0.049333333333,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,b660c2f9522fbe1c24eac34c,947-05-7,single_model_exploratory,False,False,0.0,0.069,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,bdf613ee90e7101a181443e2,947-05-7,single_model_exploratory,False,False,0.0,0.088666666667,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,7220916c443f54390193d01d,947-05-7,single_model_exploratory,False,False,0.0,0.108333333333,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,123343cf3e2f932148ea8215,947-05-7,single_model_exploratory,False,False,0.0,0.128,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,5f51ebca00067ee0557b1891,947-05-7,single_model_exploratory,False,False,0.0,0.147666666667,,,oxacyclotridecan-2-one,water-DQGSJTVMODPFBK-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
