available_model_count,candidate_id,cas_number,evidence_tier,experimental_winner,full_profile_evaluated,heat_coverage_min,mass_fraction,mass_ratio_vs_heos_water,model_relative_spread,name,pair_id,profile_hash,quadrature_node_count,qualification,rankable,relative_change_refined_to_exact,stage,status,successful_model_count,within_quadrature_tolerance,worst_model_mass_kg
1,205bdcecfc65d12cf4c517f8,1758-10-7,single_model_exploratory,False,False,1.0,0.000464158883,0.9992824963465312,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,complete_model_estimate,1,,2688.284016330946
1,f37adcd9d19a84f1d09d17d3,1758-10-7,single_model_exploratory,False,False,0.0,0.000774263683,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,771a9410f8b473a23ca30291,1758-10-7,single_model_exploratory,False,False,0.0,0.001291549665,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,bbe8250df16ebf6a312d4b3a,1758-10-7,single_model_exploratory,False,False,0.0,0.00215443469,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,232230ac01b02cb105474c38,1758-10-7,single_model_exploratory,False,False,0.0,0.003593813664,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,8dbc22814310efcd34319895,1758-10-7,single_model_exploratory,False,False,0.0,0.005994842503,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,ba8cb1760e42af8b3a1b7528,1758-10-7,single_model_exploratory,False,False,0.0,0.01,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,0bf4ad728b8e4b41ef28009c,1758-10-7,single_model_exploratory,False,False,0.0,0.029666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,4a9842c76b255e6dfd46f8f1,1758-10-7,single_model_exploratory,False,False,0.0,0.049333333333,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,1e0ff06d58faa0c1b57f328c,1758-10-7,single_model_exploratory,False,False,0.0,0.069,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,67e320db34fff18458a7b4af,1758-10-7,single_model_exploratory,False,False,0.0,0.088666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,9342ad8926506cced64dcf06,1758-10-7,single_model_exploratory,False,False,0.0,0.108333333333,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,9c105b3c7a9cccfb3f616ce9,1758-10-7,single_model_exploratory,False,False,0.0,0.128,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,ae32ef0f9c3ab91076cfb983,1758-10-7,single_model_exploratory,False,False,0.0,0.147666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,034c39db046dfb64a9826d9e,1758-10-7,single_model_exploratory,False,False,0.0,0.167333333333,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,e3382d1723234078cbb67de8,1758-10-7,single_model_exploratory,False,False,0.0,0.187,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,28e23333b4b8159ed77e6174,1758-10-7,single_model_exploratory,False,False,0.0,0.206666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,ce3843c2923915ca13565561,1758-10-7,single_model_exploratory,False,False,0.0,0.226333333333,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,437e87d1f55302ad01f98f92,1758-10-7,single_model_exploratory,False,False,0.0,0.246,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,fb693c64be15d07270c63556,1758-10-7,single_model_exploratory,False,False,0.0,0.265666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,0cb72c6451b1c8783a8fd7f1,1758-10-7,single_model_exploratory,False,False,0.0,0.285333333333,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,1d33e0a2730c72bdf0a219e0,1758-10-7,single_model_exploratory,False,False,0.0,0.305,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,1487ffad0497139e1f06a47b,1758-10-7,single_model_exploratory,False,False,0.0,0.324666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,a6e9d74932ff264bdd455766,1758-10-7,single_model_exploratory,False,False,0.0,0.344333333333,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,7931ae812895840b0d41f22c,1758-10-7,single_model_exploratory,False,False,0.0,0.364,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,22e890466b4589d27faa677d,1758-10-7,single_model_exploratory,False,False,0.0,0.383666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,81b7bc8e983b6e216bf787ff,1758-10-7,single_model_exploratory,False,False,0.0,0.403333333333,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,41ed12954e13f1f085e60a27,1758-10-7,single_model_exploratory,False,False,0.0,0.423,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,056eaae89856e7c00e5c28ba,1758-10-7,single_model_exploratory,False,False,0.0,0.442666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,c64032f38200518bc3bca538,1758-10-7,single_model_exploratory,False,False,0.0,0.462333333333,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,e4d1138643f2bf1133a5a80f,1758-10-7,single_model_exploratory,False,False,0.0,0.482,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
1,a4c9bdac9fa661849edfd82b,1758-10-7,single_model_exploratory,False,False,0.0,0.501666666667,,,allyl m-methylphenyl ether,water-QPQBHWOKRGCIPA-UHFFFAOYSA-N,74ab06a76bc6ab06899449c4b4aed297759eadf8574e4df475ae5f36757b0e21,24,,False,,coarse,incomplete_models_or_reference,0,,
