chemsep_nrtl_endpoint_error,chemsep_nrtl_liquid_phase_count,chemsep_nrtl_ratio,chemsep_nrtl_status,chemsep_nrtl_vapor_mole_fraction,heat_reduction_required_for_mass_parity,mass_fraction,mass_ratio_equal_net_heat,minimum_ratio,model_spread,pair_id,paired_eligible,pressure_pa,temperature_k,unifac_dortmund_endpoint_error,unifac_dortmund_liquid_phase_count,unifac_dortmund_ratio,unifac_dortmund_status,unifac_dortmund_vapor_mole_fraction
0.004983500929861329,0,0.9616193796368414,ok,1.0,0.03838062036315859,0.0486666666667,1.039912486349488,0.9616193796368414,0.0013758535236637615,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,450.0,0.004983500929861329,0,0.9629952331605052,ok,1.0
0.04753384477263267,1,0.9566191179662478,ok,0.0,0.04338088203375223,0.068,1.0453481236356421,0.9566191179662478,0.000924264884063497,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,350.0,0.04753384477263267,1,0.9575433828503113,ok,0.0
0.04747923920572206,1,0.9566191179662478,ok,0.0,0.04338088203375223,0.068,1.0453481236356421,0.9566191179662478,0.000924264884063497,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,350.0,0.04747923920572206,1,0.9575433828503113,ok,0.0
0.05626208582771852,1,0.9571732994174792,ok,0.0,,0.068,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,101325.0,362.5,0.05626208582771852,1,0.9579147140532503,ok,0.0
0.005780814713935989,0,0.944322009617221,ok,1.0,0.055677990382778986,0.068,1.0589608097828282,0.944322009617221,0.0020092398017126367,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,375.0,0.005780814713935989,0,0.9463312494189337,ok,1.0
0.06595606384827224,1,4.393964507014762,ok,0.5111412030704494,,0.068,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,110314.038831,375.0,0.06595606384827224,1,5.283982092341225,ok,0.6409074523420566
0.06595088936195792,1,0.9577544908467137,ok,0.0,,0.068,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,120100.539483,375.0,0.06595088936195792,1,0.9582970726090401,ok,0.0
0.06593912345370401,1,0.9577544908467137,ok,0.0,,0.068,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,142355.189579,375.0,0.06593912345370401,1,0.9582970726090401,ok,0.0
0.06590865312105298,1,0.9577544908467137,ok,0.0,,0.068,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,200000.0,375.0,0.06590865312105298,1,0.9582970726090401,ok,0.0
0.07654222847206649,1,0.95836252904449,ok,0.0,,0.068,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,200000.0,387.5,0.07654222847206649,1,0.9586907933946394,ok,0.0
0.004356199754141699,0,0.9449782590071442,ok,1.0,0.05502174099285584,0.068,1.0582254040962438,0.9449782590071442,0.0019734045180853643,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,400.0,0.004356199754141699,0,0.9469516635252295,ok,1.0
0.008105095449862487,0,0.9449782590071442,ok,1.0,0.05502174099285584,0.068,1.0582254040962438,0.9449782590071442,0.0019734045180853643,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,400.0,0.008105095449862487,0,0.9469516635252295,ok,1.0
0.002871306568927867,0,0.946379982390169,ok,1.0,0.05362001760983104,0.068,1.0566580217328867,0.946379982390169,0.0019048089813897828,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,450.0,0.002871306568927867,0,0.9482847913715587,ok,1.0
0.004983500929861329,0,0.946379982390169,ok,1.0,0.05362001760983104,0.068,1.0566580217328867,0.946379982390169,0.0019048089813897828,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,450.0,0.004983500929861329,0,0.9482847913715587,ok,1.0
0.04753384477263267,1,0.9442920153781552,ok,0.0,0.055707984621844786,0.0873333333333,1.058994446330816,0.9442920153781552,0.001234134850579105,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,350.0,0.04753384477263267,1,0.9455261502287343,ok,0.0
0.04747923920572206,1,0.9442920153781552,ok,0.0,0.055707984621844786,0.0873333333333,1.058994446330816,0.9442920153781552,0.001234134850579105,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,350.0,0.04747923920572206,1,0.9455261502287343,ok,0.0
0.05626208582771852,1,0.9450034697647869,ok,0.0,,0.0873333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,101325.0,362.5,0.05626208582771852,1,0.946006695353664,ok,0.0
0.005780814713935989,0,0.9285027041452892,ok,1.0,0.07149729585471076,0.0873333333333,1.0770027868906702,0.9285027041452892,0.0025559684754666856,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,375.0,0.005780814713935989,0,0.9310586726207559,ok,1.0
0.06595606384827224,1,5.965966955579465,ok,0.7590986917255231,,0.0873333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,110314.038831,375.0,0.06595606384827224,1,6.841937815314606,ok,0.8879461877458945
0.06595088936195792,1,0.9457496439817198,ok,0.0,,0.0873333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,120100.539483,375.0,0.06595088936195792,1,0.9465020665253255,ok,0.0
0.06593912345370401,1,0.9457496439817198,ok,0.0,,0.0873333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,142355.189579,375.0,0.06593912345370401,1,0.9465020665253255,ok,0.0
0.06590865312105298,1,0.9457496439817198,ok,0.0,,0.0873333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,200000.0,375.0,0.06590865312105298,1,0.9465020665253255,ok,0.0
0.07654222847206649,1,0.9465303246977311,ok,0.0,,0.0873333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,200000.0,387.5,0.07654222847206649,1,0.9470127520956587,ok,0.0
0.004356199754141699,0,0.929345343203643,ok,1.0,0.07065465679635696,0.0873333333333,1.0760262665682447,0.929345343203643,0.002510382152130619,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,400.0,0.004356199754141699,0,0.9318557253557737,ok,1.0
0.008105095449862487,0,0.929345343203643,ok,1.0,0.07065465679635696,0.0873333333333,1.0760262665682447,0.929345343203643,0.002510382152130619,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,400.0,0.008105095449862487,0,0.9318557253557737,ok,1.0
