chemsep_nrtl_endpoint_error,chemsep_nrtl_liquid_phase_count,chemsep_nrtl_ratio,chemsep_nrtl_status,chemsep_nrtl_vapor_mole_fraction,heat_reduction_required_for_mass_parity,mass_fraction,mass_ratio_equal_net_heat,minimum_ratio,model_spread,pair_id,paired_eligible,pressure_pa,reference_blockers,temperature_k,unifac_dortmund_endpoint_error,unifac_dortmund_liquid_phase_count,unifac_dortmund_ratio,unifac_dortmund_status,unifac_dortmund_vapor_mole_fraction
0.04753384477263267,1,0.9999497536268568,ok,0.0,5.024637314321456e-05,0.0001,1.0000502488979681,0.9999497536268568,1.8625970776842138e-05,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,True,101325.0,[],350.0,0.04753384477263267,1,0.9999683795976336,ok,0.0
0.04747923920572206,1,0.9999497536268568,ok,0.0,5.024637314321456e-05,0.0001,1.0000502488979681,0.9999497536268568,1.8625970776842138e-05,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,True,200000.0,[],350.0,0.04747923920572206,1,0.9999683795976336,ok,0.0
0.05626208582771852,1,0.9999499114086561,ok,0.0,,0.0001,,,,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,False,101325.0,"[""water_reference_tolerance_exceeded""]",362.5,0.05626208582771852,1,0.9999709469432825,ok,0.0
0.005780814713935989,0,0.9999216334025217,ok,1.0,7.836659747828545e-05,0.0001,1.0000783727392832,0.9999216334025217,5.854433053342767e-06,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,True,101325.0,[],375.0,0.005780814713935989,0,0.9999274878355751,ok,1.0
0.06595088936195792,1,0.9999500989210355,ok,0.0,,0.0001,,,,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,False,120100.539483,"[""water_reference_tolerance_exceeded""]",375.0,0.06595088936195792,1,0.9999736875120839,ok,0.0
0.06593912345370401,1,0.9999500989210355,ok,0.0,,0.0001,,,,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,False,142355.189579,"[""water_reference_tolerance_exceeded""]",375.0,0.06593912345370401,1,0.9999736875120839,ok,0.0
0.06590865312105298,1,0.9999500989210355,ok,0.0,,0.0001,,,,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,False,200000.0,"[""water_reference_tolerance_exceeded""]",375.0,0.06590865312105298,1,0.9999736875120839,ok,0.0
0.07654222847206649,1,0.9999503134497124,ok,0.0,,0.0001,,,,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,False,200000.0,"[""water_reference_tolerance_exceeded""]",387.5,0.07654222847206649,1,0.9999766160811423,ok,0.0
0.004356199754141699,0,0.9999227040781342,ok,1.0,7.729592186578316e-05,0.0001,1.000077301896987,0.9999227040781342,5.7500178070046815e-06,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,True,101325.0,[],400.0,0.004356199754141699,0,0.9999284540959412,ok,1.0
0.008105095449862487,0,0.9999227040781342,ok,1.0,7.729592186578316e-05,0.0001,1.000077301896987,0.9999227040781342,5.7500178070046815e-06,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,True,200000.0,[],400.0,0.008105095449862487,0,0.9999284540959412,ok,1.0
0.002871306568927867,0,0.9999249248529687,ok,1.0,7.507514703131157e-05,0.0001,1.0000750807837322,0.9999249248529687,5.550147200716893e-06,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,True,101325.0,[],450.0,0.002871306568927867,0,0.9999304750001694,ok,1.0
0.004983500929861329,0,0.9999249248529687,ok,1.0,7.507514703131157e-05,0.0001,1.0000750807837322,0.9999249248529687,5.550147200716893e-06,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,True,200000.0,[],450.0,0.004983500929861329,0,0.9999304750001694,ok,1.0
0.04753384477263267,1,0.999910651816112,ok,0.0,8.934818388794952e-05,0.000177827941004,1.0000893561676993,0.999910651816112,3.311865369792777e-05,water-CSCPPACGZOOCGX-UHFFFAOYSA-N,True,101325.0,[],350.0,0.04753384477263267,1,0.99994377046981,ok,0.0
