comparison_allowed,context_id,endpoint_relative_error,error,heos_delta_h_j_kg,model_delta_h_j_kg,pressure_pa,status,task_key,temperature_k
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.047488255960700054,,237820.45226213828,226526.7737524244,183702.81983,ok,67b95267f1d22d35c0990c750c27d1e9bb78821f57936c93a0c0ac06708f9d87,350.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.04747923920572206,,237818.20100543599,226526.7737524244,200000.0,ok,fd45c22f648d1c58ca298c71ed8f3477caee6a6f9daac2ffb235db3cb68c85bd,350.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05090719232303509,,258813.2636761473,245637.80708643328,101325.0,ok,c747b35024a1fd60895c652bf923335b0176653884e9daa7ec62e744e2811854,355.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.050896922703521974,,258810.46322822286,245637.80708643328,120100.539483,ok,aac9ab68df440dafbea0a80e49b26935da3a8d72f426e153a44ec605ce7d240e,355.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.050884751396442884,,258807.14428289153,245637.80708643328,142355.189579,ok,50dc1af257caa94cec1c90d79bb160390995b52d1befa3eef2397b14f6b56d86,355.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.050870326536889166,,258803.21093551852,245637.80708643328,168733.630067,ok,e1e22d69654667343b566b1bc9e027554af4b3a8bc7b8c832288b5944251613c,355.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05085323126438668,,258798.54957906532,245637.80708643328,200000.0,ok,1e94279138c491660c582f3b8265d7abda629725f5833a59c8df0e2209b5ba55,355.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05443798528494315,,279814.3564548325,264581.8266356285,101325.0,ok,8cb1d0590cbe5eda9ac1abe2faf4f29ba1f129e07f1473c114d6263a6d4a6ffd,360.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05442782239366861,,279811.34904519306,264581.8266356285,120100.539483,ok,c6fcdaf38fd1d7ba36ac6090adbcc1caee0614ffe95fc024dccc0004ebf2bca5,360.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.054415777571640844,,279807.7848170464,264581.8266356285,142355.189579,ok,c51522ba449d53356403a52073aaf6cd5e029c0eb5d04de0c0dd113926bb8d3e,360.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05440150260720611,,279803.56077672925,264581.8266356285,168733.630067,ok,43b24e454ca8b32474a5d08e750b1bb4fdcd9700ca4109e3b9c8d3b43d6f4368,360.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05438458496653775,,279798.5549191431,264581.8266356285,200000.0,ok,5f060195dc2530a2483822999528842ad45220a274068820ce9af7dd91496d2b,360.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05626208582771852,,290323.00074716413,273988.8231613664,101325.0,ok,48efcdb6ea797664d7050d57b078af7f4c8eb99ee12d53ad1c374ccc8e8c322f,362.5
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.056251970699237375,,290319.8890538282,273988.8231613664,120100.539483,ok,9f159019b02a7f4a1736e447c816e0419cc6cc5e026817caa109f3875b0c33ad,362.5
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.056239982482340745,,290316.201233053,273988.8231613664,142355.189579,ok,ac331fe42733f29dbc4f213a1b56315bdd41463203c73fa82a1595517fbe8822,362.5
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05620893645568614,,290306.6512755784,273988.8231613664,200000.0,ok,521bd1bd04f98c5db23d1c2920bd48f6e3bd5b629733396e7859a1467caf4f22,362.5
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05812507283350987,,300837.44948120124,283351.2508190591,101325.0,ok,c6a6f7e85263f51c1bdb227b309bff62c6f07f056fd36a1b3bc2eac150e8d54f,365.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05811500190857022,,300834.2328343931,283351.2508190591,120100.539483,ok,f7352f9ea98d458efed2eb6b21d6a90f8bc06b48db2614eec2c9595fa84549ea,365.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.058103066078723065,,300830.4206272545,283351.2508190591,142355.189579,ok,83061e77dc54de3bdac5464c082e9e9c150a228891f84a778e5d47bebf51a68f,365.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.05808892028056856,,300825.9026992881,283351.2508190591,168733.630067,ok,be9bc597e0d0dea5b9c16575644dbebf4849cc09c631c4303450f6776c031d33,365.0
