additive_mass_fraction,calibrated_uncertainty,cas_number,classification,comparison_eligible,complete_grid,enthalpy_penalty_fraction,expected_condition_count,experimental_winner,failure_counts,handling_approved,margin_is_calibrated_uncertainty,mass_ratio_equal_net_heat,maximum_model_spread_delta_h_ratio,maximum_storage_bubble_pressure_ratio,maximum_viscosity_ratio_proxy,minimum_paired_delta_h_ratio,model_gain_above_margin,model_spread_is_uncertainty,name,pair_id,paired_condition_count,rankable,reference_basis,required_net_heat_reduction_for_mass_parity,smiles,water_dominated_thermodynamic
0.068,,111-46-6,no_paired_enthalpy_gain,True,True,0.07366379979009863,6,False,{},False,False,1.0795216680222655,0.013248619811642048,0.9889021273913786,0.9973427828070563,0.9263362002099014,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.07366379979009863,OCCOCCO,False
0.0873333333333,,111-46-6,no_paired_enthalpy_gain,True,True,0.09840906239564617,6,False,{},False,False,1.1091504564776704,0.01710156099539939,0.9859011097920255,0.9965296538605442,0.9015909376043538,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.09840906239564617,OCCOCCO,False
0.106666666667,,111-46-6,no_paired_enthalpy_gain,True,True,0.12314694880042776,6,False,{},False,False,1.1404419459246422,0.02145576605095345,0.9829692008988954,0.9956885835022837,0.8768530511995722,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.12314694880042776,OCCOCCO,False
0.126,,111-46-6,no_paired_enthalpy_gain,True,True,0.14787720354634593,6,False,{},False,False,1.1735397810758943,0.025918815652794303,0.9801064440781301,0.9948181066516825,0.8521227964536541,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.14787720354634593,OCCOCCO,False
0.145333333333,,111-46-6,no_paired_enthalpy_gain,True,True,0.1725995600825373,6,False,{},False,False,1.2086046269201343,0.030354714372645697,0.9773125683923478,0.9939166540031398,0.8274004399174627,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.1725995600825373,OCCOCCO,False
0.164666666667,,111-46-6,no_paired_enthalpy_gain,True,True,0.19731374026717785,6,False,{},False,False,1.2458167657346653,0.03476277378901449,0.9745869305720796,0.9929825425924771,0.8026862597328221,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.19731374026717785,OCCOCCO,False
0.184,,111-46-6,no_paired_enthalpy_gain,True,True,0.22201945383832078,6,False,{},False,False,1.2853791845229263,0.03914227500339451,0.9719284472826843,0.9920139653202212,0.7779805461616792,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.22201945383832078,OCCOCCO,False
0.203333333333,,111-46-6,no_paired_enthalpy_gain,True,True,0.24671639787013,6,False,{},False,False,1.3275212644647412,0.04349246673793372,0.969335516008024,0.9910089792940824,0.75328360212987,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.24671639787013,OCCOCCO,False
0.222666666667,,111-46-6,no_paired_enthalpy_gain,True,True,0.27140425620397857,6,False,{},False,False,1.3725032139083717,0.047812563283840315,0.966805922567216,0.9899654928334781,0.7285957437960214,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.27140425620397857,OCCOCCO,False
0.242,,111-46-6,no_paired_enthalpy_gain,True,True,0.29608269886645366,6,False,{},False,False,1.4206214258261016,0.05210174228658393,0.9643367329067194,0.9888812509529467,0.7039173011335463,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.29608269886645366,OCCOCCO,False
0.261333333333,,111-46-6,no_paired_enthalpy_gain,True,True,0.32075150737052893,6,False,{},False,False,1.4722152656222358,0.0563592682358951,0.9619241663659881,0.9877538191121651,0.6792484926294711,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.32075150737052893,OCCOCCO,False
0.280666666667,,111-46-6,no_paired_enthalpy_gain,True,True,0.34541008075175483,6,False,{},False,False,1.5276739995452975,0.06058399651016555,0.9595634470841878,0.9865805649873818,0.6545899192482452,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.34541008075175483,OCCOCCO,False
0.3,,111-46-6,no_paired_enthalpy_gain,True,True,0.37005815966032074,6,False,{},False,False,1.5874481356259442,0.06477509526148395,0.9572486295681935,0.9853586379768787,0.6299418403396793,False,False,diethylene glycol,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,6,False,,0.37005815966032074,OCCOCCO,False
0.0293333333333,,123-42-2,no_paired_enthalpy_gain,True,True,0.02200763065253064,6,False,{},False,False,1.0225028654029422,0.004632604059416234,0.9974218833186292,0.9981234348030242,0.9779923693474694,False,False,diacetone alcohol,water-SWXVUIWOUIDPGS-UHFFFAOYSA-N,6,False,,0.02200763065253064,CC(=O)CC(C)(C)O,False
0.0,,7732-18-5,,True,True,,6,False,{},False,,,0.0,1.0,1.0,1.0,,,water,pure-water-reference,6,,normalization_identity_not_new_measurement,,O,
