additive_mass_fraction,cas_number,comparison_eligible,failure_counts,maximum_model_spread_delta_h_ratio,maximum_storage_bubble_pressure_ratio,minimum_paired_delta_h_ratio,name,outlet_temperature_k,pair_id,pareto_with_water,pressure_pa,required_net_heat_reduction_for_mass_parity,water_dominated_thermodynamic
0.000237137370566,111-46-6,True,{},1.3493818959764425e-05,0.999959852941798,0.9998355212845288,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.00016447871547120574,False
0.000316227766017,111-46-6,True,{},1.799351717657327e-05,0.9999464652524342,0.9997806643201617,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.00021933567983833946,False
0.000421696503429,111-46-6,True,{},2.399335433589389e-05,0.9999286142058076,0.9997075115478029,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.00029248845219709274,False
0.00056234132519,111-46-6,True,{},3.1993186492162984e-05,0.9999048125186739,0.9996099610520951,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.0003900389479049027,False
0.000749894209332,111-46-6,True,{},4.2659214536611145e-05,0.9998730779118129,0.9994798758983872,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.00052012410161284,False
0.001,111-46-6,True,{},5.6879177206203835e-05,0.9998307688319272,0.9993064054883195,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.0006935945116804954,False
0.00133352143216,111-46-6,True,{},7.583572877289946e-05,0.999774366017224,0.9990750806338976,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.0009249193661023947,False
0.00177827941004,111-46-6,True,{},0.00010110389207296233,0.9996991823386349,0.9987666069279219,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.0012333930720781483,False
0.00237137370566,111-46-6,True,{},0.000134780305860005,0.9995989778752952,0.9983552558711761,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.0016447441288238718,False
0.00316227766017,111-46-6,True,{},0.00017965431659805464,0.9994654501859953,0.9978067197511833,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.002193280248816709,False
0.0056234132519,111-46-6,True,{},0.00031904279868766316,0.9990506493693887,0.9960998529617503,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.0039001470382497017,False
0.01,111-46-6,True,{},0.0005659750826827459,0.9983156802492067,0.9930648236356163,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.006935176364383677,False
0.0293333333333,111-46-6,True,{},0.0016422491616759904,0.9951100351014633,0.979661738522176,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.020338261477824027,False
0.0486666666667,111-46-6,True,{},0.002694415147679874,0.991971945770564,0.9662653243967735,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.033734675603226516,False
0.068,111-46-6,True,{},0.0037219128118876066,0.9889021273913786,0.9528758065173497,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.04712419348265029,False
0.0873333333333,111-46-6,True,{},0.003790496908812724,0.9859011097920255,0.9352434884291871,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.06475651157081286,False
0.106666666667,111-46-6,True,{},0.004726276376597061,0.9829692008988954,0.9162576084889399,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.08374239151106011,False
0.126,111-46-6,True,{},0.0056355647308228285,0.9801064440781301,0.8972793604150555,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.10272063958494448,False
0.145333333333,111-46-6,True,{},0.006517702198821418,0.9773125683923478,0.8783090105594857,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.12169098944051426,False
