additive_mass_fraction,cas_number,comparison_eligible,failure_counts,maximum_model_spread_delta_h_ratio,maximum_storage_bubble_pressure_ratio,minimum_paired_delta_h_ratio,name,outlet_temperature_k,pair_id,pareto_with_water,pressure_pa,required_net_heat_reduction_for_mass_parity,water_dominated_thermodynamic
0.0001,67-56-1,True,{},3.512204544531272e-05,1.0007978090029275,0.9999577160333873,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,4.22839666126551e-05,True
0.000133352143216,67-56-1,True,{},4.683450913700593e-05,1.0010638426824157,0.9999436136636608,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,5.6386336339198095e-05,True
0.000177827941004,67-56-1,True,{},6.245216993050473e-05,1.0014185632724746,0.999924808037658,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,7.519196234195835e-05,True
0.000316227766017,67-56-1,True,{},0.00011104273426898459,1.0025220832247073,0.9998662900365112,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.00013370996348882613,True
0.00056234132519,67-56-1,True,{},0.00019741860781685716,1.0044833293831918,0.9997622337692018,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.00023776623079818648,True
0.001,67-56-1,True,{},0.00035091872622528,1.007967432842082,0.9995772087320932,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.0004227912679067858,True
0.00177827941004,67-56-1,True,{},0.000623567640236633,1.0141519674417052,0.9992482332960602,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.0007517667039398379,True
0.00316227766017,67-56-1,True,{},0.001107410844722878,1.025114573706872,0.9986633832127241,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.0013366167872759238,True
0.0056234132519,67-56-1,True,{},0.0019646498895190545,1.0444983986031626,0.9976238605033662,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.0023761394966338445,True
0.01,67-56-1,True,{},0.0034790469524033085,1.0786215830346495,0.9957768798677832,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.004223120132216818,True
0.0293333333333,67-56-1,True,{},0.010015859114394732,1.224218538490677,0.9876415236229656,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.012358476377034355,True
0.0486666666667,67-56-1,True,{},0.016304343815424227,1.3618725879821163,0.979542893925858,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.020457106074141973,True
0.068,67-56-1,True,{},0.022345936717570902,1.4921495063346546,0.9714786409552958,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.02852135904470421,True
0.0873333333333,67-56-1,True,{},0.028141988215538483,1.6155831208564917,0.963446389247061,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.03655361075293895,True
0.106666666667,67-56-1,True,{},0.03369375783458839,1.7326773665863506,0.9554437382418218,methanol,350.0,water-OKKJLVBELUTLKV-UHFFFAOYSA-N,False,101325.0,0.04455626175817817,True
